ROWNUM;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;AddressUNOM;Point X;Point Y;GLOBALID;
122;"ГБУЗ ГП № 46 ДЗМ";"Центральный административный округ";"Басманный район";"105064";"улица Казакова, дом 17А";"Маркова Наталья Анатольевна";"главный врач";"женский";"(499) 267-77-64";"(499) 267-77-64";"(499) 267-63-20";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.666175";"55.763739";"84270260";
123;"ГБУЗ ГП № 46 филиал № 1 ДЗМ";"Центральный административный округ";"Таганский район";"109544";"Рабочая улица, дом 34";"Ионова Ольга Владимировна";"заведующий филиалом";"женский";"(495) 678-74-01";"(495) 678-74-01";"(495) 678-74-01";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.685494";"55.74163";"84270261";
124;"ГБУЗ ГП № 46 филиал № 2 ДЗМ";"Центральный административный округ";"Таганский район";"109316";"Иерусалимская улица, дом 4, строение 1";"Лихачева Наталья Николаевна";"заведующий филиалом";"женский";"(495) 676-41-86";"(495) 676-38-46";"(495) 676-41-33";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.676125";"55.732971";"84270262";
125;"ГБУЗ ГП № 46 филиал № 3 ДЗМ";"Центральный административный округ";"Таганский район";"109004";"Воронцовская улица, дом 14/14, строение 1";"Кузнецов Валерий Алексеевич";"заведующий филиалом";"мужской";"(495) 911-21-67";"(495) 911-21-67";"(495) 911-21-67";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.656919";"55.737965";"84270263";
126;"ГБУЗ ГП № 46 филиал № 4 ДЗМ";"Центральный административный округ";"Басманный район";"105005";"Бригадирский переулок, дом 14";"Атоян Армен Артушович";"заведующий филиалом";"мужской";"(499) 261-09-95";"(499) 261-09-95";"(499) 263-63-28";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.681989";"55.764807";"84270264";
127;"ГБУЗ ГП № 134 филиал № 1 ДЗМ";"Юго-Западный административный округ";"район Ясенево";"117588";"Тарусская улица, дом 6, корпус 1";"Байдакова Татьяна Валентиновна";"заведующий филиалом";"женский";"(495) 425-72-00";"(495) 425-68-11";"(495) 425-68-11";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.534683";"55.610639";"84270265";
128;"ГБУЗ ГП № 5 ДЗМ";"Центральный административный округ";"Красносельский район";"107045";"Даев переулок, дом 3, строение 1";"Лихачева Фрида Яковлевна";"исполняющий обязанности главного врача";"женский";"(495) 608-16-80";"(495) 607-90-02";"(495) 608-16-81";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.634128";"55.770826";"84270266";
129;"ГБУЗ ГП № 5 филиал № 1 ДЗМ";"Центральный административный округ";"Басманный район";"101000";"Большой Харитоньевский переулок, дом 8/2, строение 3";"Иосипова Алла Ивановна";"исполняющий обязанности заведующего филиалом";"женский";"(495) 624-17-15";"(495) 624-25-50; (495) 625-73-58";"(495) 623-94-03";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.644327";"55.763982";"84270267";
130;"ГБУЗ ГП № 5 филиал № 2 ДЗМ";"Центральный административный округ";"Мещанский район";"127051";"Трубная улица, дом 19, строение 1";"Иорданян Альберт Вардович";"заведующий филиалом";"мужской";"(495) 621-15-28";"(495) 621-15-28";"(495) 621-15-28";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.624949";"55.770319";"84270268";
131;"ГБУЗ ГП № 5 филиал № 3 ДЗМ";"Центральный административный округ";"Красносельский район";"105066";"Ольховская улица, дом 35";"Караева Светлана Халидовна";"заведующий филиалом";"женский";"(499) 261-10-94";"(499) 261-10-94";"(499) 261-10-94";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.672663";"55.777212";"84270269";
132;"ГБУЗ ГП № 5 филиал № 4 ДЗМ";"Центральный административный округ";"Мещанский район";"107045";"Протопоповский переулок, дом 19, строение 12";"Обрезкова Наталия Егоровна";"заведующий филиалом";"женский";"(495) 680-29-33";"(495) 680-29-33";"(495) 680-29-33";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.639427";"55.781809";"84270270";
133;"ГБУЗ ГП № 52 ДЗМ";"Южный административный округ";"район Бирюлёво Западное";"117546";"Медынская улица, дом 7, корпус 1";"Балашов Дмитрий Владимирович";"главный врач";"мужской";"(495) 383-40-52";"(495) 383-64-98";"(495) 383-40-52";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"Отделение неотложной помощи работает круглосуточно";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.649139";"55.584563";"84270271";
134;"ГБУЗ ГП № 52 филиал № 1 ДЗМ";"Южный административный округ";"район Бирюлёво Восточное";"117546";"Ряжская улица, дом 13";"Шмелев Валерий Викторович";"заместитель главного врача";"мужской";"(495) 326-01-06";"(495) 326-01-06; (495) 326-01-66";"";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.668596";"55.590481";"84270272";
135;"ГБУЗ ГП № 52 филиал № 2 ДЗМ";"Южный административный округ";"район Бирюлёво Западное";"117546";"Булатниковский проезд, дом 8";"Терехова Ирина Юрьевна";"заместитель главного врача";"женский";"(495) 383-97-65";"(495) 385-09-54; (495) 383-22-10";"";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.653644";"55.590811";"84270273";
136;"ГБУЗ ГП № 52 филиал № 3 ДЗМ";"Южный административный округ";"район Бирюлёво Восточное";"115372";"Лебедянская улица, дом 10";"Антонова Лариса Петровна";"заместитель главного врача";"женский";"(495) 329-87-55";"(495) 329-87-55; (495) 329-72-55";"(495) 328-92-57";"info@gp192.mosgorzdrav.ru";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"Неотложная помощь и травматологическое отделение часы работы круглосуточно";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.669244";"55.586231";"84270274";
137;"ГБУЗ ГП № 22 филиал № 2 ДЗМ";"Юго-Западный административный округ";"Академический район";"117449";"улица Дмитрия Ульянова, дом 25";"Агафонова Татьяна Борисовна";"заместитель главного врача";"женский";"(499) 126-25-45";"(499) 126-11-50";"(499) 126-25-45";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.579956";"55.686171";"84270275";
138;"ГБУЗ ГП № 6 ДЗМ";"Северный административный округ";"Тимирязевский район";"127206";"улица Вучетича, дом 7, б";"Терешин Геннадий Иванович";"главный врач";"мужской";"(495) 611-27-29";"(495) 611-25-22";"(495) 611-27-29";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"отсутствует";"";"";"37.556567";"55.807714";"84270276";
139;"ГБУЗ ГП № 6 филиал № 1ДЗМ";"Северный административный округ";"Савёловский район";"127015";"1-я Квесисская улица, дом 8";"Ибрагимова Лиана Магомедовна";"главный врач";"женский";"(495) 685-68-83";"(495) 685-68-83";"(495) 685-69-78";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"Отделение неотложной помощи работает круглосуточно";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.581508";"55.794068";"84270277";
140;"ГБУЗ ГП № 6 филиал № 2 ДЗМ";"Северный административный округ";"район Сокол";"125080";"Факультетский переулок, дом 10";"Аникеева Наталья Алексеевна";"заместитель главного врача";"женский";"(499) 158-13-53";"(499) 158-13-53; (499) 158-95-00";"(499) 158-13-53";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.495485";"55.812216";"84270278";
141;"ГБУЗ ГП № 6 филиал № 3 ДЗМ";"Северный административный округ";"Савёловский район";"127015";"Бутырская улица, дом 65";"Пичугина Лидия Владимировна";"главный врач";"женский";"(495) 685-39-52";"(495) 685-39-52; (495) 685-16-16";"(495) 685-16-16";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"отсутствует";"";"";"37.58252";"55.801455";"84270279";
142;"ГБУЗ ГП № 6 филиал № 4 ДЗМ";"Северный административный округ";"Тимирязевский район";"127550";"Лиственничная аллея, дом 14";"Титов Игорь Александрович";"заместитель главного врача";"мужской";"(499) 976-19-60";"(499) 976-13-63";"(499) 976-13-40";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"отсутствует";"";"";"37.566581";"55.835998";"84270280";
143;"ГБУЗ ГП № 6 филиал № 5 ДЗМ";"Северный административный округ";"район Коптево";"125239";"переулок Михалковский 3-й, дом 22";"Караулова Евгения Евгеньевна";"заместитель главного врача";"женский";"(499) 153-33-37";"(499) 154-44-71";"(499) 154-44-71";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.52499";"55.836585";"84270281";
144;"ГБУЗ ГП № 6 филиал № 6 ДЗМ";"Северный административный округ";"район Коптево";"125008";"3-й Новомихалковский проезд, дом 3А, строение 1";"Владимирова Надежда Николаевна";"заместитель главного врача";"женский";"(499) 153-71-01";"(499) 153-71-01";"(499) 153-71-01";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.542423";"55.839668";"84270282";
145;"ГБУЗ ГП № 6 филиал № 7 ДЗМ";"Северный административный округ";"Тимирязевский район";"127434";"улица Немчинова, дом 14";"Ганялина Анна Владимировна";"заместитель главного врача";"женский";"(499) 977-01-10";"(499) 977-01-22";"(499) 977-01-22";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.564906";"55.823292";"84270283";
146;"ГБУЗ ГП № 22 филиал № 3 ДЗМ";"Юго-Западный административный округ";"Академический район";"117447";"Большая Черемушкинская улица, дом 6А";"Шавхалов Руслан Нажмудинович";"заместитель главного врача";"мужской";"(499) 126-91-18";"(499) 126-87-57";"(499) 126-68-00";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.594468";"55.687751";"84270284";
147;"ГБУЗ ГП № 62 ДЗМ";"Северный административный округ";"район Аэропорт";"125167";"Красноармейская улица, дом 18";"Соколова Татьяна Васильевна";"главный врач";"женский";"(499) 155-71-53";"(499) 155-97-57";"(499) 155-97-57";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.544961";"55.800716";"84270285";
148;"ГБУЗ ГП № 62 филиал № 1 ДЗМ";"Северный административный округ";"район Сокол";"125057";"Чапаевский переулок, дом 4";"Соколова Татьяна Васильевна";"главный врач";"женский";"(499) 157-12-58";"(499) 157-12-58";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.519485";"55.801705";"84270286";
149;"ГБУЗ ГП № 62 филиал № 2 ДЗМ";"Северный административный округ";"Савёловский район";"127083";"улица Юннатов, дом 12";"Соколова Татьяна Васильевна";"главный врач";"женский";"(499) 155-71-33";"(495) 612-21-33";"(495) 613-66-77";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.560862";"55.800902";"84270287";
150;"ГБУЗ ГП № 62 филиал № 3 ДЗМ";"Северный административный округ";"Хорошёвский район";"123308";"улица Куусинена, дом 6Б";"Соколова Татьяна Васильевна";"главный врач";"женский";"(499) 155-71-53";"(499) 155-71-53";"(499) 155-97-57";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.51986";"55.783842";"84270288";
151;"ГБУЗ ГП № 62 филиал № 4 ДЗМ";"Северный административный округ";"район Беговой";"125040";"улица Новая Башиловка, дом 14";"Тихоновская Елена Юрьевна";"заведующий филиалом";"женский";"(495) 612-30-21";"(495) 612-30-21";"(495) 612-30-21";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.571387";"55.789105";"84270289";
152;"ГБУЗ ГП № 62 филиал № 5 ДЗМ";"Северный административный округ";"район Аэропорт";"125319";"Планетная улица, дом 37";"Работкин Олег Стефанович";"заведующий филиалом";"мужской";"(499) 152-45-00";"(499) 152-88-15";"(499) 152-20-58";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-15:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.542564";"55.804087";"84270290";
153;"ГБУЗ ГП № 64 ДЗМ";"Восточный административный округ";"район Соколиная Гора";"107023";"Малая Семеновская улица, дом 13";"Кокарева Инга Викторовна";"главный врач";"женский";"(495) 963-42-46";"(495) 963-42-55";"(495) 963-42-46";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.71298";"55.785402";"84270291";
154;"ГБУЗ ГП № 64 филиал № 3 ДЗМ";"Восточный административный округ";"район Измайлово";"105425";"Сиреневый бульвар, дом 8";"Юсуфов Камиль Магомедович";"заведующий филиалом";"мужской";"(499) 164-49-86";"(499) 164-49-86";"(499) 164-49-86";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.778905";"55.801982";"84270292";
155;"ГБУЗ ГП № 64 филиал № 2 ДЗМ";"Восточный административный округ";"район Соколиная Гора";"105318";"Щербаковская улица, дом 26";"Базунцева Гаянэ Гарниковна";"заведующий филиалом";"женский";"(499) 369-73-73";"(499) 369-73-73";"(499) 369-73-73";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.728611";"55.781152";"84270293";
